Words,Types,Sentences,Title
4240,1188,172,Franklin_D._Roosevelt_1942-02-23
3862,1167,188,Franklin_D._Roosevelt_1942-04-28
3178,921,147,Franklin_D._Roosevelt_1942-09-07
3484,1046,151,Franklin_D._Roosevelt_1942-10-12
4617,1286,200,Franklin_D._Roosevelt_1943-01-07
2462,760,125,Franklin_D._Roosevelt_1943-05-02
3464,1077,147,Franklin_D._Roosevelt_1943-07-28
1466,514,68,Franklin_D._Roosevelt_1943-09-08
351,184,17,Franklin_D._Roosevelt_1943-12-01
3387,998,130,Franklin_D._Roosevelt_1943-12-24
3468,1036,150,Franklin_D._Roosevelt_1944-01-11
1665,619,77,Franklin_D._Roosevelt_1944-06-05
1650,606,78,Franklin_D._Roosevelt_1944-06-12
1774,652,68,Franklin_D._Roosevelt_1944-07-20
561,259,26,Franklin_D._Roosevelt_1945-01-20
2017,624,68,Franklin_D._Roosevelt_1945-02-11
6052,1378,265,Franklin_D._Roosevelt_1945-03-01
4081,1187,294,George_H._W._Bush_1988-08-18
6080,1286,404,George_H._W._Bush_1988-09-25
2318,754,147,George_H._W._Bush_1989-01-20
4842,1400,287,George_H._W._Bush_1989-02-09
2453,916,142,George_H._W._Bush_1989-05-12
773,325,39,George_H._W._Bush_1989-12-20
3796,1113,196,George_H._W._Bush_1990-01-31
1820,645,82,George_H._W._Bush_1990-07-26
1425,582,78,George_H._W._Bush_1990-08-08
3272,1066,200,George_H._W._Bush_1990-09-11
2756,901,123,George_H._W._Bush_1990-10-01
1128,410,76,George_H._W._Bush_1990-10-02
1506,583,87,George_H._W._Bush_1991-01-16
3967,1223,225,George_H._W._Bush_1991-01-29
777,335,47,George_H._W._Bush_1991-02-27
2788,887,174,George_H._W._Bush_1991-03-06
11878,1176,616,George_H._W._Bush_1991-07-31
5128,1394,314,George_H._W._Bush_1992-01-28
5053,1359,348,George_H._W._Bush_1992-08-20
16532,2343,1203,George_H._W._Bush_1992-10-11
1135,465,66,George_H._W._Bush_1992-12-04
3774,1184,188,George_H._W._Bush_1992-12-15
3317,1037,193,George_H._W._Bush_1993-01-05
1585,586,97,George_W._Bush_2001-01-20
1060,430,61,George_W._Bush_2001-01-29
852,396,54,George_W._Bush_2001-05-11
911,391,57,George_W._Bush_2001-06-07
1738,614,83,George_W._Bush_2001-08-09
595,293,35,George_W._Bush_2001-09-11
3053,974,181,George_W._Bush_2001-09-21
2260,620,142,George_W._Bush_2002-01-08
3834,1244,212,George_W._Bush_2002-01-29
2824,951,158,George_W._Bush_2002-06-01
1504,608,74,George_W._Bush_2002-06-06
954,395,57,George_W._Bush_2002-06-19
2793,927,157,George_W._Bush_2002-09-12
5390,1550,294,George_W._Bush_2003-01-28
1770,640,105,George_W._Bush_2003-03-17
578,264,30,George_W._Bush_2003-03-19
3574,1123,195,George_W._Bush_2003-11-06
2534,741,154,George_W._Bush_2003-12-08
2383,758,118,George_W._Bush_2004-01-07
5198,1473,273,George_W._Bush_2004-01-20
2490,822,163,George_W._Bush_2004-07-17
4850,1340,249,George_W._Bush_2004-09-03
2069,721,97,George_W._Bush_2005-01-20
