Index,TokensCount,TypesCount,TypesCountMean,TypesCountStdDev,Sentences,Language,Modified,Title,Author
186,578,264,2.189394,3.7943976,30,en,1704194869003,George_W._Bush_2003-03-19,
187,3574,1123,3.1825469,12.501892,195,en,1704194868923,George_W._Bush_2003-11-06,
188,2534,741,3.419703,8.44781,154,en,1704194868923,George_W._Bush_2003-12-08,
189,2383,758,3.1437995,8.521581,118,en,1704194868923,George_W._Bush_2004-01-07,
190,5198,1473,3.5288527,13.142639,273,en,1704194868923,George_W._Bush_2004-01-20,
191,2490,822,3.029197,8.533754,163,en,1704194868923,George_W._Bush_2004-07-17,
192,4850,1340,3.619403,12.672466,249,en,1704194868923,George_W._Bush_2004-09-03,
193,2069,721,2.8696256,8.930576,97,en,1704194868923,George_W._Bush_2005-01-20,
194,5082,1476,3.4430895,12.633832,227,en,1704194868923,George_W._Bush_2005-02-02,
195,1148,477,2.4067085,5.0641055,70,en,1704194869003,George_W._Bush_2005-08-31,
196,3303,1017,3.2477877,10.833,143,en,1704194868923,George_W._Bush_2005-09-15,
197,2235,754,2.964191,8.095548,114,en,1704194868923,George_W._Bush_2005-12-18,
198,5332,1536,3.4713542,13.467943,274,en,1704194868927,George_W._Bush_2006-01-31,
199,1650,543,3.038674,6.5695524,84,en,1704194869003,George_W._Bush_2006-07-19,
200,2907,916,3.173581,9.810187,159,en,1704194868927,George_W._Bush_2007-01-10,
201,5581,1586,3.5189154,14.384533,286,en,1704194868927,George_W._Bush_2007-01-23,
202,3573,847,4.218418,12.507048,217,en,1704194868927,George_W._Bush_2007-04-09,
203,5728,1596,3.5889723,13.937621,310,en,1704194868927,George_W._Bush_2008-01-28,
204,3177,997,3.1865597,10.059926,172,en,1704194868927,George_W._Bush_2008-03-19,
205,679,339,2.00295,3.318853,35,en,1704194869003,George_W._Bush_2008-10-03,
206,2957,1012,2.9219368,9.158395,165,en,1704194868927,George_W._Bush_2008-11-13,
207,1041,411,2.5328467,5.161373,45,en,1704194869003,George_W._Bush_2008-12-19,
208,7011,1354,5.177991,18.509943,444,en,1704194868927,George_W._Bush_2009-01-12,
209,1865,733,2.5443382,6.617146,119,en,1704194868927,George_W._Bush_2009-01-15,
210,850,372,2.2849462,4.560996,41,en,1704194869003,Gerald_Ford_1974-08-09,
211,1095,445,2.460674,5.350457,40,en,1704194869003,Gerald_Ford_1974-09-08,
212,591,313,1.888179,3.44233,16,en,1704194869003,Gerald_Ford_1974-09-16,
213,2084,706,2.9518414,8.507849,104,en,1704194868927,Gerald_Ford_1974-09-18,
214,4335,1303,3.326938,10.529044,216,en,1704194868927,Gerald_Ford_1974-10-08,
